Ensayo,Muestra-año,Exportador,CodigoVUCE (grupos),Cant muestras,Promedio de RESULTADO,Año,Mes
ACIDEZ (% ác. oleico),C0179-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,febrero
ACIDEZ (% ác. oleico),C0181-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.15,2023,febrero
ACIDEZ (% ác. oleico),C0182-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.21,2023,febrero
ACIDEZ (% ác. oleico),C0183-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.12,2023,febrero
ACIDEZ (% ác. oleico),C0184-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.37,2023,febrero
ACIDEZ (% ác. oleico),C0185-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.1,2023,febrero
ACIDEZ (% ác. oleico),C0186-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.45,2023,febrero
ACIDEZ (% ác. oleico),C0187-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.44,2023,febrero
ACIDEZ (% ác. oleico),C0188-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.44,2023,febrero
ACIDEZ (% ác. oleico),C0189-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.16,2023,febrero
ACIDEZ (% ác. oleico),C0192-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.5,2023,febrero
ACIDEZ (% ác. oleico),C0193-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.27,2023,febrero
ACIDEZ (% ác. oleico),C0194-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.3,2023,febrero
ACIDEZ (% ác. oleico),C0195-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.22,2023,febrero
ACIDEZ (% ác. oleico),C0196-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.37,2023,febrero
ACIDEZ (% ác. oleico),C0211-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,febrero
ACIDEZ (% ác. oleico),C0212-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.22,2023,febrero
ACIDEZ (% ác. oleico),C0213-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.23,2023,febrero
ACIDEZ (% ác. oleico),C0214-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.31,2023,febrero
ACIDEZ (% ác. oleico),C0215-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.29,2023,febrero
ACIDEZ (% ác. oleico),C0217-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.29,2023,febrero
ACIDEZ (% ác. oleico),C0218-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.5,2023,febrero
ACIDEZ (% ác. oleico),C0219-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.27,2023,febrero
ACIDEZ (% ác. oleico),C0220-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.25,2023,febrero
ACIDEZ (% ác. oleico),C0224-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.42,2023,febrero
ACIDEZ (% ác. oleico),C0227-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.15,2023,febrero
ACIDEZ (% ác. oleico),C0228-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,febrero
ACIDEZ (% ác. oleico),C0229-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,febrero
ACIDEZ (% ác. oleico),C0230-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.39,2023,febrero
ACIDEZ (% ác. oleico),C0231-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.56,2023,febrero
ACIDEZ (% ác. oleico),C0232-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.34,2023,febrero
ACIDEZ (% ác. oleico),C0233-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.3,2023,febrero
ACIDEZ (% ác. oleico),C0234-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0235-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.24,2023,febrero
ACIDEZ (% ác. oleico),C0236-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.12,2023,febrero
ACIDEZ (% ác. oleico),C0237-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,febrero
ACIDEZ (% ác. oleico),C0238-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.16,2023,febrero
ACIDEZ (% ác. oleico),C0239-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0240-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,febrero
ACIDEZ (% ác. oleico),C0244-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.24,2023,febrero
